chem_code,chem_name
3073,2-Butoxyethanol Phosphate
355,2-(2-Butoxy Ethoxy) Ethyl Thiocyanate
3074,1-Butoxy Ethoxy-2-Propanol
3592,Butoxypoly(Ethyleneoxy) Ethanol
1633,Butoxy Polypropoxy Polyethoxy Ethanol - Iodine Complex
170,Butoxy Polypropylene Glycol
2625,1-Butoxy-2-Propanol
5912,3-Butoxy-1-Propanol
1756,Butralin
2434,N-Butyl Acetate
5379,Butylacetylaminopropionic Acid
1482,Butyl Alcohol
3078,Sec-Butyl Alcohol
1704,Sec-Butylamine
3593,Butylated Styrenated Cresols
3079,Butylamine Dodecyl Benzene Sulfonate
1407,N-Butylamino-Para-Benzoate
1713,Sec-Butyl Ammonium Phosphate
565,Butylate
1309,Butylated Hydroxytoluene
5874,"N-Butyl-1,2-Benzisothiazolin-3-One"
3080,Butyl Benzyl Phthalate
1383,Tert-Butyl Dimethyl Trithio Peroxycarbamate
91383,"Tert-Butyldimethyltrithioperoxycarbamate, Other Related"
1034,"1,3-Butylene Glycol"
3594,Alpha-Butyl-Omega-Hydroxypoly(Oxyethylene) Phosphate
2083,Alpha-Butyl-Alpha-1h-Imidazole-Propanenitrile
5087,Butyl Mercaptan
1000,Para-Tert-Butylphenol
2059,"Tert-Butylphenol, Oxyethylated Adduct"
1721,1-(Para-Tert-Butyl Phenoxy)-1-(2-Butynyl) Sulfite
1381,Alpha-(Para-Sec-Butylphenyl)-Omega-Hydroxypoly(Oxyethylene)
1786,Alpha-(Para-Tert-Butylphenyl)-Omega-Hydroxypoly(Oxyethylene)
1605,Alpha-(Para-Tert-Butylphenyl)-Omega-Hydroxypoly(Oxyethylene) Phosphate
3076,Butyl Stearate
3083,Butyric Acid
2007,Butyric Anhydride
3084,Beta-Butyrolactone
2436,Gamma-Butyrolactone
32,Cacodylic Acid
93,Cadmium Carbonate
94,Cadmium Chloride
3085,Cadmium Cocoate
2438,Cadmium Compounds
3086,Cadmium Perborate
699,Cadmium Sebacate
92,Cadmium Succinate
2439,Cadmium Yellow Pigments
3595,Calcareous Shale
3087,Calcium Abietate
5989,Calcium Acetate
101,Calcium Acid Methanearsonate
96,Calcium Arsenate
1571,Calcium Carbide
1007,Calcium Carbonate
2440,"Calcium Carbonate, Treated"
920,Calcium Chloride
3090,Calcium Citrate
98,Calcium Cyanamide
176,Calcium Cyanide
99,Calcium Hydroxide
326,Calcium Hypochlorite
3091,Calcium Neodecanoate
5809,Calcium Nitrate
3092,Calcium Octoate
3094,Calcium Petrolem Sulfonate
1607,"Calcium Phosphate, Tribasic"
2441,Calcium Propionate
1252,Calcium Salts Of Casein And Soy
3596,Calcium Salts Of Fatty Acids
1908,Calcium Silicate
3096,Calcium Stearate
2442,Calcium Sulfate
930,Calcium Thiosulfate
3871,Calcium-Zinc Ln 193 (Complex)
5741,Calf's Milk Replacer
100,Calomel
5227,Camphene
102,Camphor
3597,Canary Seed
3961,Candida Oleophila Isolate I-182
2443,Candle Wax
3598,Cane Syrup
5332,Canola Oil
2315,Capric Acid
2316,Caprylic Acid
470,Capsicum Oleoresin
292,Captafol
104,Captan
90104,"Captan, Other Related"
2444,Caramel Color
105,Carbaryl
2176,Carbendazim
1974,Carbendazim Phosphate
106,Carbofuran
4058,Carbofuran Phenol
2446,"Carbo Methoxy Ether Cellulose, Sodium Salt"
4027,Complex Carbohydrate Polymer Derivative
712,Carbon
2445,Carbon Black Pigment
2207,Carbon Dioxide
108,Carbon Disulfide
109,Carbon Tetrachloride
3099,Carbon Tetrafluoride
110,Carbophenothion
2182,Carbosulfan
1755,Carboxin
2447,Carboxy Polymethylene
3599,Cardboard
5130,Carfentrazone-Ethyl
1657,Carnuba Wax
3600,Carrageenan
3601,Carrots
1161,Carvacrol
2188,Beta-Caryophyllene
1075,Casein
1013,Castor Oil
5974,Castor Oil Ethoxylate
2448,Castor Wax Derivative
6054,Catalase
3602,Cat Food
3100,Cellulose
3101,Cellulose Ethyl Hydroxy Ethyl Ether
3603,Ceresin
2449,Cetyl Alcohol
122,Cetyldimethylethylammonium Bromide
1792,N-Cetyl-N-Ethyl Morpholinium Ethyl Sulfate
2450,Cetyl Palmitate
1486,Cetyl Pyridium Bromide
116,Cetyltrimethylammonium Bromide
2453,Chartersol-1
3604,Cheese
2454,Chem-O-Thane D-3860/D-3861
5973,Chenopodium Ambrosiodes Near Ambrosiodes
2455,Chevron Base Oil 'C'
2456,Chevron 100 Neutral Oil
2457,Chevron Solvent 425
3605,Chicago Sludge
4026,Chitinolytic Enzymes
2792,Chitosan
3102,Chloracetic Acid
2184,Chloramben
831,"Chloramben, Ammonium Salt"
90831,"Chloramben, Ammonium Salt, Other Related"
6088,Chloramben Me
124,Chloramine B
125,Chloramine T
5964,Chlorantraniliprole
127,Chlorbisan
1733,Chlorbromuron
130,Chlordane
90130,"Chlordane, Other Related"
347,Chlordecone
300,Chlordimeform
301,Chlordimeform Hydrochloride
5106,Chlorethoxyphos
3938,Chlorfenapyr
306,Chlorfenvinphos
760,"Chlorflurenol, Methyl Ester"
1144,Chlorhexidine Diacetate
5933,Chlorhexidine Gluconate
3606,Chlorinated Rubber
2214,Chlorinated Trisodium Phosphate (Prior Tsp & Sodium Hypochlorite)
131,Chlorine
2458,Chlorimuron Ethyl
2053,Chlorine Dioxide
1512,Chlormequat Chloride
2459,Chloroacrylate
4059,Chloroallyl Alcohol 
250,"1-(3-Chloroallyl)-3,5,7-Triaza-1-Azonia Adamantane Chloride"
2460,Chlorobenzene
132,Chlorobenzilate
2461,P-Chlorobenzoic Acid
1151,1-Chlorobutane
4061,4-Chloro-Ortho-Cresol
836,4-Chloro-2-Cyclopentylphenol
1237,"4-Chloro-2-Cyclopentyl Phenol, Potassium Salt"
1395,"4-Chloro-Cyclopentylphenol, Sodium Salt"
2462,Chlorodibromomethane
1371,"5-Chloro-2-(2,4-Dichlorophenoxy) Phenol"
6042,"2-Chloro-N-(2,6-Diethylphenyl)Acetamide"
3103,"1-Chloro-1,1-Difluoro Ethane"
3104,Chloro Difluoro Methane
6125,"1-Chloro-5,5-Dimethylhydantoin"
6047,2-Chloro-6-Ethylamino-4-Amino-S-Triazine
133,Chloroform
2173,Alpha-Chlorohydrin
1142,Chloro Hydroxy Allantoinate
2079,2-Chloro-N-(Hydroxymethyl)Acetamide
6048,2-Chloro-4-Isopropylamino-6-Amino-S-Triazine
1597,"5-Chloro-2-Mercaptobenzothiazole, Lauryl Pyridinium Salt"
1813,Para-Chloro-Meta-Cresol
887,Chloromethoxy Propyl Mercuric Acetamide
2038,5-Chloro-2-Methyl-4-Isothiazolin-3-One
2463,3-Chloro-2-Methyl Propene
135,Chloroneb
351,1-Chloro-2-Nitropropane
1625,Chlorophacinone
1572,Para-Chlorophenol
2464,2-(3-Chlorophenoxy)Propionamide
6086,N(4-Chlorophenyl)N' Methylurea
846,2-Chloro-4-Phenylphenol
1061,"2-Chloro-4-Phenylphenol, Potassium Salt"
1632,"2-Chloro-4-Phenylphenol, Sodium Salt"
945,4-Chloro-2-Phenylphenol
947,"4-Chloro-2-Phenylphenol, Potassium Salt"
946,"4-Chloro-2-Phenylphenol, Sodium Salt"
948,6-Chloro-2-Phenylphenol
950,"6-Chloro-2-Phenylphenol, Potassium Salt"
949,"6-Chloro-2-Phenylphenol, Sodium Salt"
2465,Chlorophyll Oil Soluble-Zz
1566,4 & 6 - Chloro-2-Phenylphenol
91566,"4 & 6-Chloro-2-Phenylphenol, Other Related"
1604,"4 & 6 - Chloro-2-Phenylphenol, Potassium Salts, Mixed"
1594,"4 & 6 - Chloro-2-Phenylphenol, Sodium Salts, Mixed"
3105,Chlorophyll
136,Chloropicrin
137,Chloropropylate
2466,2-Chloropyridine-N-Oxide
2055,2-Chloro-Salicylanilide
47,Chlorotetracycline
677,Chlorothalonil
2467,Chlorotoluene
549,3-Chloro-P-Toluidine Hydrochloride
576,Chloroxuron
925,"4-Chloro-3,5-Xylenol"
141,Chlorpropham
253,Chlorpyrifos
2468,Chlorpyrifos-Methyl
5034,Chlorpyrifos Oxon
2143,Chlorsulfuron
179,Chlorthal-Dimethyl
2469,Chlorthiophos
2232,Cholecalciferol
1188,Chromic Acid
2470,Chromium Dioxide
6024,Chromobacterium Subtsugae Strain Praa4-1
3536,Cinmethylin
2277,Cinnamaldehyde
3607,Cinnamon
5577,Cinnamon Oil
3107,Cis-Citral
142,Citric Acid
1816,"Citric Acid, Ammonium Salt"
1001,"Citrinin, Antimycin"
3608,Citrus Meal
3609,Citrus Pectin
3610,Citrus Pulp
3611,Clam Shells
3979,Clarified Hydrophobic Extract Of Neem Oil
3566,Clethodim
2249,Clofentezine
3537,Clomazone
5135,Clopyralid
5050,"Clopyralid, Monoethanolamine Salt"
2339,"Clopyralid,Triethylamine Salt"
6099,Cloquintocet-Mexyl
5781,Cloransulam-Methyl
5792,Clothianidin
5018,Clove Oil
2333,Cloves
5042,Coal Tar Distillate Boiling Between 270-300 Degrees Celcius
1719,Coal Tar Hydrocarbons
144,Coal Tar Neutral Oils And Coal Tar Acid Combinations
1720,Coal Tar Phenols
3108,Cobalt Naphthenate
3109,Cobalt Octoate
3110,Cobaltous Sulfate
3837,"2,2'-(Cocoalkylimino)-Bis-(Ethanol) With Bis-(2-Ethylhexyl) Phosphate (1:1)"
3836,"2,2'-(Cocoalkylimino)-Bis-(Ethanol) With Mono (2-Ethylhexyl) Phosphate (1:1)"
3111,"N-(2-Coco Amido Ethyl)-N-(2-Hydroxy Ethyl) Glycine, Sodium Salt"
2473,Cocamidopropyl Betaine
3613,Cocoa
3614,Cocoa Shells
2474,Coco Ampho Carboxy Glycinate
2475,Coco Betaine
3615,Cocodiamine
1598,Coconut Diethanolamide
1659,Coconut Imidazoline Sodium Carboxylate
1759,Coconut Oil Amine
1164,Coconut Oil Amine Acetate
3616,Coconut Oil Fatty Acids
1361,Coconut Oil Monoethanolamine
1740,Coconut Oil Propylene Diamine
2088,Coconut Oil Soap
3617,Coco Shell Flour
2250,Cod Liver Oil
2225,Codling Moth Granulosis Virus
3619,Coffee Grounds
1805,Collagen
5128,Colletotrichum Gloeosporioides F.sp.aeschynomene Atcc20358
2477,Colloid 643
3527,Colloid 840
6135,Complex Polymeric Polyhdroxy Acids
2124,Compounded Silicone
3620,"Condensation Product Of Mixed Cresols, Formaldehyde And Sulfanilic"
5753,Coniothyrium Minitans Strain Con/M/91-08
2478,Conoco Lpa
3621,Cookies
714,Copper
147,Copper Acetate
1762,Copper Ammonium Carbonate
3550,Copper Ammonium Complex
1457,Copper Bronze Powder
60,"Copper Carbonate, Basic"
1406,Copper Citrate
3547,Copper Citrate Chelate
6103,Copper Diammonium Diacetate Complex
3553,Copper Diethanolamine Complex
753,Copper Dihydrazinium Sulfate
3551,"Copper Ethanolamine Complexes, Mixed"
3549,Copper Ethylenediamine Complex
2235,Copper 2-Ethylhexanoate
3548,Copper Gluconate Chelate
151,Copper Hydroxide
1826,Copper Hydroxide - Triethanolamine Complex
1110,Copper Linoleate
3552,Copper Monoethanolamine Complex
153,Copper Naphthenate
5225,Copper Octanoate
154,Copper Oleate
2231,Copper Oxide (Ic)
175,Copper Oxide (Ous)
156,Copper Oxychloride
158,Copper Oxychloride Sulfate
2479,Copper Phthalocyanine
5975,Copper 2-Pyridinethiol-1-Oxide
6018,Copper Pyrithione
159,Copper 8-Quinolinoleate
155,Copper Salts Of Fatty And Rosin Acids
755,Copper Sodium Sulfate-Phosphate Complex
1778,Copper Sulfate (Anhydrous)
162,Copper Sulfate (Basic)
2480,Copper Sulfate Ethylene Diamine
1789,"Copper Sulfate, Monohydrate"
161,Copper Sulfate (Pentahydrate)
1615,Copper Triethanolamine Complex
163,Copper-Zinc Chromate Complex
164,Copper-Zinc Sulfate Complex
1751,"Copper-Zinc Sulfate Complex, Monohydrate"
3622,Cork
5144,Corn
3624,Corn Cobs
3625,Corn Flour
2481,Corn Gluten Meal
6032,Corn Mint Oil
3626,Corn Oil
2322,"Corn Product, Hydrolyzed"
3627,Cornstarch
5960,Corn Steep Liquor
3628,Corn Syrup
3629,Cotton
2482,Cotton Fibre Cord
2078,Cottonseed Flour
3630,Cottonseed Meal
1015,Cottonseed Oil
298,Coumafuryl
299,"Coumafuryl, Sodium Salt"
165,Coumaphos
90165,"Coumaphos, Other Related"
3631,Coumarone-Indene Resin
5925,Coyote Urine
2483,C-Pa-1224 Black
17,3-Cpa
643,4-Cpa
1550,"4-Cpa, Diethanolamine Salt"
2484,Cremaphor
3632,Cracked Oats
3633,Cracked Wheat
171,Creosote
3113,O-Cresol
3114,P-Cresol
1941,Cresylic Acid
5095,"Cresylic Acid, Potassium Salt"
140,Crotoxyphos
90140,"Crotoxyphos, Other Related"
519,Crufomate
3115,Cryofluorane
173,Cryolite
756,Cube Extracts
3116,Cumene
5986,Cumyluron
1831,Cunimene
3117,Cupric Gluconate
3118,Cupric Nitrate
5597,Cuprous Chloride
2108,Cuprous Thiocyanate
1640,Cyanazine
91640,"Cyanazine, Other Related"
1957,"N-(2-Cyanoethyl)-N-Alkyl (C6-C18)-1,3-Diamino Propane"
5921,"S-Cyano (3-Phenoxyphenyl)Methyl (+) Cis/Trans 3-(2,2-Dichloroethenyl)-2,2-Dimethylcyclopropane Carboxylate (Cis/Trans Ratio: Max 55% Cis And Min 45% Trans)"
6072,Cyantraniliprole
2138,Cyanuric Acid
3529,Cyanuric Acid Chloride
1031,"Cyanuric Acid, Monosodium Salt"
5930,Cyazofamid
3120,"Cyclamic Acid, Sodium Salt"
4030,Cyclanilide
516,Cycloate
2087,Cyclohexane
3121,Cyclohexanol
177,Cyclohexanone
3122,"4-Cyclohexene-1,2-Dicarboximide"
5,Cycloheximide
2486,N-Cyclohexyl Pyrrolidone
5402,Cyclopinoleic Acid
4033,"N-Cyclopropyl-N'-(1,1-Dimethylethyl)-6-(Methylthio)-1,3,5-Triazine-2,4-Diamine"
6003,Cyflufenamid
6083,Cyflumetofen
2223,Cyfluthrin
3956,Beta-Cyfluthrin
1638,Cyhexatin
5748,Cyhalofop-Butyl
1162,"2-Para-Cymenol, Chloroethyl Ester"
4002,Cymoxanil
6131,Alpha-Cypermethrin
2171,Cypermethrin
3866,(S)-Cypermethrin
3885,Cyphenothrin
1701,Cyprazine
5105,Cyproconazole
4000,Cyprodinil
178,Cypromid
2286,Cyromazine
2082,Cytokinin
636,"2,4-D"
801,"2,4-D, Alkanolamine Salts (Ethanol And Isopropanol Amines)"
802,"2,4-D, Butoxyethanol Ester"
1255,"2,4-D, Butoxy Ethoxy Propanol Ester"
803,"2,4-D, Butoxypropyl Ester"
804,"2,4-D, Butyl Ester"
805,"2,4-D, Diethanolamine Salt"
875,"2,4-D, Diethylamine Salt"
806,"2,4-D, Dimethylamine Salt"
1259,"2,4-D, N,N-Dimethyl Oleyl-Linoleylamine Salt"
807,"2,4-D, Dodecylamine Salt"
1622,"2,4-D, 2-Ethylhexyl Ester"
1962,"2,4-D, Heptylamine Salt"
809,"2,4-D, Isooctyl Ester"
810,"2,4-D, Isopropyl Ester"
3953,"2,4-D, Isopropylamine Salt"
811,"2,4-D, Lithium Salt"
6041,"2,4-D, Methyl Ester"
1032,"2,4-D, Morpholine Salt"
1999,"2,4-D, Octyl Ester"
1096,"2,4-D, N-Oleyl-1,3-Propylenediamine Salt"
1275,"2,4-D, Propyl Ester"
812,"2,4-D, Propylene Glycol Butyl Ether Ester"
813,"2,4-D, Sodium Salt"
814,"2,4-D, Tetradecylamine Salt"
815,"2,4-D, Triethanolamine Salt"
1138,"2,4-D, Triethylamine Salt"
5538,"2,4-D, Triisopropanolamine Salt"
816,"2,4-D, Triisopropylamine Salt"
2488,D-79 Solvent
2489,D-425
180,Dalapon
1731,"Dalapon, Magnesium Salt"
1081,"Dalapon, Sodium Salt"
7,Daminozide
2491,Daxad 23
2492,Day-Glo Saturn Yellow Ax-17-N
233,Dazomet
2029,"Dazomet, Sodium Salt"
5020,"2,4-Db Acid"
837,"4-(2,4-Db), Butoxyethanol Ester"
838,"4-(2,4-Db), Dimethylamine Salt"
1385,"4-(2,4-Db), Isooctyl Ester"
183,Dbcp
90183,"Dbcp, Other Related"
3515,D & C Red No. 28
3991,D & C Yellow No. 8
2487,D & C Yellow 10 Lake
3634,D & C Red No. 37
4062,Dcpa Acid Metabolites
184,Ddd
90184,"Ddd, Other Related"
2092,Dde
186,Ddt
187,Ddvp
90187,"Ddvp, Other Related"
3123,Dea-Dodecyl Benzne Sulfonate
6129,"2,4-Decadienoic Acid, Ethyl Ester, (2e,4z)-"
1791,1-Decanol
6111,3-Decen-2-One
5071,(E)-9-Decen-1-Ol
3974,(E)-5-Decenol
5315,(E)-5-Decen-1-Ol
3975,(E)-5-Decenyl Acetate
2096,"(R,Z)-5-(1-Decenyl) Dihydro-2-(3h)-Furanone"
5836,Decyclohexyl-4-Hydroxy Hexazinone
2493,Decyl Betaine
3635,N-Decyl Glucoside
4004,Alpha-Decyl-Omega-Hydroxypoly(Oxyethylene)
5872,Alpha-Decyl-Omega-Hydroxypoly(Oxyethylene) Phosphate
3636,Alpha-Decyl-Omega-Hydroxypoly(Oxyethylene) Poly(Oxypropylene)
5127,Decyl-N-Methyl-N-(3-Trimethoxysilyl)Propyl)-1-Decanaminium Chloride
3125,Decyl Phenoxy Benzene Disulfonic Acid
3126,"Decyl Phenoxy Benzene Disulfonic Acid, Disodium Salt"
3987,"2-(Decylthio)Ethanamine, Hydrochloride Salt"
189,Deet
90189,"Deet, Other Related"
4051,Deethyl-Atrazine
5031,Deethylhydroxysimazine
4096,Deethyl-Simazine 
1686,Dehydroabietylamine
932,Dehydroabietylamine Acetate
1863,Dehydroabietylamine-Ethylene Oxide Condensate
1939,Dehydroabietyl Ammonium Phenoxide
1501,"Dehydroacetic Acid, Sodium Salt"
3010,Deltamethrin
93010,"Deltamethrin, Other Related"
2494,Delvet 65
5890,Demethylnorflurazon
566,Demeton
4063,Demeton-S-Methyl
2229,Denatonium Benzoate
2102,Denatured Ethanol
2496,Dequest 2010 Phosphonate
5719,Derivated Natural Polymers
1748,Desmedipham
2497,Desoto Urethane Resin
6039,Desulfinyl Fipronil
6040,Desulfinyl Fipronil Amide
5745,Device Electrical
5747,Device Heat
5746,Device Microwave
1108,Dextrin
3129,Dextrose
3130,Diacetone Alcohol
196,Diacetoxy Propene
3637,Diacetyl Tartaric Acid Esters Of Mono And Diglycerides Of Edible
1799,Dialifor
91799,"Dialifor, Other Related"
197,"Dialkyl (85%C18, 15%C16) Dimethyl Ammonium Chloride"
2230,"N-Dialkyl (47%C12, 18%C14, 10%C18, 9%C10, 8%C16, 8%C8) Dimethyl Ammonium Chloride"
2070,"N-Dialkyl (60%C14, 30%C16, 5%C12, 5%C18) Methyl Benzyl Ammonium Chloride"
1209,Dialkyl Phthalate
2498,Dialkyl Sulfosuccinate
48,Diallate
5092,Diallyl Dimethyl Ammonium Chloride Polymers
5795,Diallyl Disulfide
5794,Diallyl Monosulfide
5793,Diallyl Sulfides
5796,Diallyl Trisulfide
5797,Diallyl Tetrasulfide
5028,Diaminochlorotriazine
5032,Diaminohydroxytriazine
654,Diammonium Phosphate
5780,Diammonium Salt Of Phosphorous Acid
195,Diatomaceous Earth
90195,"Diatomaceous Earth, Other Related"
198,Diazinon
4064,Diazoxon
2313,"1,2-Dibromo-2,4-Dicyanobutane"
4036,"1,3-Dibromo-5,5-Dimethylhydantoin"
1749,"2,2-Dibromo-3-Nitrilopropionamide"
1256,"3,5-Dibromosalicylanilide"
839,"4',5-Dibromosalicylanilide"
199,Dibutylphthalate
567,Dibutyl Succinate
3132,"1,3-Di-N-Butyl-2-Thiourea"
200,Dicamba
4065,5-Hydroxy-Dicamba
90200,"Dicamba, Other Related"
780,"Dicamba, Diethanolamine Salt"
849,"Dicamba, Dimethylamine Salt"
90849,"Dicamba, Dimethylamine Salt, Other Related"
5098,"Dicamba, Isopropylamine Salt"
1829,"Dicamba, Monoethanolamine Salt"
91829,"Dicamba, Monoethanolamine Salt, Other Related"
5110,"Dicamba, Potassium Salt"
5057,"Dicamba, Sodium Salt"
1113,"Dicamba, Triethanolamine Salt"
3934,Di-Capryl Adipate
112,Dichlobenil
614,Dichlofenthion
202,Dichlone
3133,Dichloro Acetic Acid
3135,"2,4-Dichloro Aniline"
3136,"2,5-Dichloro Aniline"
3137,"2,6-Dichloro Aniline"
3138,"3,4-Dichloro Aniline"
3139,"3,5-Dichloro Aniline"
3902,"1,1-Dichloro-1-Nitropropane"
3982,"4,5-Dichloro-2-N-Octyl-3(2h)-Isothiazolone"
690,Dichlormate
5831,Dichlormid
6068,"3,5-Dichloroaniline"
578,Ortho-Dichlorobenzene
90683,"Ortho-Dichlorobenzene, Other Related"
455,Para-Dichlorobenzene
4066,"3,5-Dichlorobenzoic Acid"
1129,"N-(3,4-Dichlorobenzyl)-N-Dodecyl-N,N-Dimethyl Ammonium Chloride"
37,"1,3-Dichloro-5,5-Dimethylhydantoin"
5116,"Dichloro-1,2-Dithiol-3-One"
2264,"1,3-Dichloro-5-Ethyl-5-Methylhydantoin"
1815,Dichlorofluoromethane
2,"Dichloroisocyanuric Acid, Potassium Salt"
206,Dichlorophen
2499,"2,4-Dichlorophenol"
1062,"4,6-Dichloro-2-Phenylphenol"
1059,"4,6-Dichloro-2-Phenylphenol, Potassium Salt"
2501,"1,2-Dichloropropane"
185,"1,2-Dichloropropane, 1,3-Dichloropropene And Related C3 Compounds"
573,"1,3-Dichloropropene"
506,"2,3-Dichloropropene"
204,Dichloro-S-Triazinetrione
2502,Dichlorovinyl Acid
5060,Dichlorprop-P
2034,Diclofop-Methyl
81,Dicloran
346,Dicofol
72,Dicrotophos
2504,Dicyandiamide
3141,Dicyano Ethyl Diethylene Triamine
5840,Didecyl Dimethyl Ammonium Bicarbonate
5839,Didecyl Dimethyl Ammonium Carbonate
1682,Didecyl Dimethyl Ammonium Chloride
210,Dieldrin
90210,"Dieldrin, Other Related"
468,Dienochlor
4049,Total Aldicarb Parent And Breakdown Products
3923,Diesel Fuel No. 2
1660,Diethanolamide Of Lauric And Myristic Acid
3142,Diethanolamine
3144,Diethanolamine Lauryl Sulfate
3134,Diethanolamine Oleate
1995,Diethatyl-Ethyl
1066,Diethylamine Salt Of Coconut Fatty Acid
3145,2-Diethyl Amino Ethanol
3146,7-(Diethyl Amino)-4-Methyl Coumarin
5743,"2,6-Diethylaniline"
3147,"N,N-Diethyl Cyclohexyl Amine Dodecyl Sulfate"
2334,Diethylene Glycol
1213,Diethylene Glycol Abietate
2505,Diethylene Glycol Monoethyl Ether
2506,Diethylene Glycol Monomethyl Ether
3151,Diethylene Triamine
5637,"N,N-Diethyl-2-(4-Methyl Benzyl Oxy) Ethylamine Hydrochloride"
2507,"O,O-Diethyl-O-Phenyl Phosphorothioate"
2508,"O,O-Diethyl Phosphoro Chloridothionate"
5088,Diethyl Sulfide
2509,"1,3-Diethyl-2-Thiourea"
5942,Difenacoum
5024,Difenoconazole
1930,Difenzoquat Methyl Sulfate
4014,Difethialone
1992,Diflubenzuron
5750,Diflufenzopyr
5751,"Diflufenzopyr, Sodium Salt"
1249,Diglycerides Of Fatty Acids
3152,Diglycolic Acid
5007,"Diglycolamine Salt Of 3,6-Dichloro-O-Anisic Acid"
3153,Dihydrogenated Tallow Dimethyl Ammonium Methosulfate
3154,Dihydrogenated Tallow Hydroxy Ethyl Methyl Ammonium Chloride
2221,Dihydro-5-Heptyl-2(3h)-Furanone
2510,(((2-Dihydro-5-Methyl-3(2h)-Oxazolyl)-1-Methylethoxy)Methoxy)Methanol
2302,([([(2-Dihydro-5-Methyl-3(2h)-Oxazolyl)-1-Methylethoxy]Methoxy)Methoxy]Methanol
2220,Dihydro-5-Pentyl-2(3h)-Furanone
2511,"3,4-Dihydro-2h-Pyran"
1804,Dihydro Abietylamine Acetate
3994,Dihydroazadirachtin
2512,Dihydro Terpineol
1951,"N,N-Di (Hydroxy Ethyl) Alkyl Amine, Alkyl Derived From Soybean Fatty Acids"
2150,Diiodomethyl P-Tolyl Sulfone
3155,Diisoamyl Ketone
1643,Diisobutyl Cresoxy Ethoxy Ethyl Dimethyl Benzyl Ammonium Chloride- Ortho-Phenylphenol Ethoxy Nonyl Phenol Complex
1946,Diisobutyl Ketone
66,2-(2-(P-(Diisobutyl) Phenoxy) Ethoxy) Ethyl Dimethylbenzyl Ammonium Chloride
2513,Diisodecyl Phthalate
3009,Diisopropanolamine
5846,Diisopropyl Adipate
3156,Diisopropylamine Dodecyl Benzene Sulfonate
1823,Diisopropylamine Oleate
3638,Diisopropyl Phenols
2004,Dikegulac Sodium
3157,Dilauryl Thiodipropionate
3158,Dimer Acid
2287,Dimethametryn
3159,Dimethamine Edta
5112,Dimethenamid
5919,Dimethenamid-P
2515,Dimethicone Copolyol
2159,Dimethipin
216,Dimethoate
4003,Dimethomorph
1359,Dimethoxane
3844,"4,6-Dimethoxy-2-Pyrimidine"
5957,Dimethyl Adipate
3161,Dimethylamine Dodecyl Benzene Sulfonate
3162,Dimethylalmine Propylamine Tridecyl Benzene Sulfonate
3639,Dimethyl Alkyl Tertiary Amines
3640,Dimethyl Amide Of Tall Oil Fatty Acids
3160,Dimethylamine
1914,"Dimethyl And Methyl Napthalene Sulfonic Acid, Sodium Salt"
3641,Dimethyl Benzyl Hydrogenated Tallow Ammonium Cation
5079,"(Z)-2-(3,3-Dimethyl Cyclo Hexylidene)Ethanol"
5081,"(Z)-(3,3-Dimethylcyclohexylidene)Acetaldehyde"
2193,"E-3,3-Dimethyl-Delta,Alpha-Cyclohexane Ethanal"
2192,"Z-3,3-Dimethyl-Delta,Alpha-Cyclohexane Ethanal"
2191,"Z-3,3-Dimethyl-Delta,Beta-Cyclohexane Ethanol"
1945,Dimethyl Dicocoalkyl Ammonium Chloride
5181,"Dimethyl Dicocoalkyl Ammonium Salt With Naphthalenesulfonic Acid, Formaldehyde Condensate"
3163,Dimethyl Dioctadecyl Ammonium Bentonite
5899,Dimethyldisulfide
2517,Dimethyl Ether
1825,"N,N-Dimethylformamide"
5959,Dimethyl Glutarate
3164,"3,5-Dimethyl-1-Hexyl-3-Ol"
5833,"5,5-Dimethylhydantoin"
2518,"1,1-Dimethyl Hydrazine"
3165,"1,2-Dimethyl Hydrazine"
2519,Dimethyl Hydrogen Phosphite
5114,Dimethyl-1-(Hydroxymethyl)Pyrazole
1228,Dimethyl Isopropyl Amino Phenanthrene
2530,"3,3-Dimethyl-2-Methylene Norcamphene"
5067,"1,4-Dimethylnaphthalene"
2520,"O,O-Dimethyl O-(4-Nitro-M-Tolyl) Phosphorothioate"
3307,"(E)-2,6-Dimethyl-2,6-Octadienal"
2521,"N,N-Dimethyl-1-Octane Decanamide"
2140,"3,7-Dimethyl-6-Octanol"
2139,"3,7-Dimethyl-6-Octen-1-Ol"
2522,"3,7-Dimethyl-6-Octen-1-Ol Acetate"
2523,"2,6-Dimethyl-2-Octen-8-Yl-N-Butyrate"
4017,"4,4-Dimethyl-2-Oxazolidinone"
3166,"3,6-Dimethyl-4-Octyne-3,6-Diol"
3167,"N,N-Dimethyl Oleyl-Linoleylamine Salt Of Benzoic Acid"
2156,"4,4-Dimethyl Oxazolidine"
232,Dimethyl Phthalate
1861,Dimethylpolysiloxane
3168,"N,N-Dimethyl-1,3-Propane Diamine Dodecyl Benzene Sulfonate"
5958,Dimethyl Sebacate
2028,Dimethyl Silicone Fluid Emulsion
2525,Dimethyl Soya Amine
3169,Dimethyl Sulfoxide
6006,"N,N-Dimethyl-N-[3-(Trimethoxysilyl)Propyl]-1-Tetradecanaminium Chloride"
2500,Diniconazole
1683,Dinitramine
3170,Dinitro Cresol
6123,Dinitrogen Tetroxide
758,Dinitro-1-Methyl Heptyl Phenol
